sigla,cidade,pontuacao
SBGR,GUARULHOS,18.913513617217536
SBSP,SÃO PAULO,15.893842314928769
SBBR,BRASÍLIA,15.277677068114283
SBKP,CAMPINAS,12.097446686029436
SBCF,CONFINS,10.145026123151185
SBRJ,RIO DE JANEIRO,9.55311496220529
SBGL,RIO DE JANEIRO,9.348117513954636
SBSV,SALVADOR,8.500696821883322
SBCT,SÃO JOSÉ DOS PINHAIS,7.629519728571176
SBPA,PORTO ALEGRE,7.589920565113424
SBEG,MANAUS,7.584611068852246
SBRF,RECIFE,6.2328149002045405
SBBE,BELÉM,5.492245253548026
SBGO,GOIÂNIA,4.9361451094970095
SBCY,VÁRZEA GRANDE,4.873902712482959
SBFZ,FORTALEZA,4.639551593922078
SBFL,FLORIANÓPOLIS,3.191215687058866
SBVT,VITÓRIA,3.1040207145735614
SBBH,BELO HORIZONTE,3.0764123444445435
SBRP,RIBEIRÃO PRETO,2.2136625481769445
SBCG,CAMPO GRANDE,2.0146451018750664
SBPV,PORTO VELHO,1.8895168883726001
SBUL,UBERLÂNDIA,1.773171531502158
SBBV,BOA VISTA,1.7299817131133746
SBSL,SÃO LUÍS,1.7122556179761885
SBPJ,PALMAS,1.6383269195444883
SBMA,MARABÁ,1.6152275580679996
SBSN,SANTARÉM,1.598884334601462
SBMO,RIO LARGO,1.5910581463016564
SBNT,PARNAMIRIM,1.4733055840246378
SBFI,FOZ DO IGUAÇU,1.4403422570321713
SBNF,NAVEGANTES,1.3480006562545894
SBLO,LONDRINA,1.267422228353098
SBAR,ARACAJU,1.2643740073777734
SBTE,TERESINA,1.2114765470847486
SBPS,PORTO SEGURO,1.1378570523113016
SBSR,SÃO JOSÉ DO RIO PRETO,1.1090118889231235
SBMG,MARINGÁ,1.0997580633964392
SBMQ,MACAPÁ,1.0855166567722334
SBJP,BAYEUX,1.0086993434466422
SBIP,SANTANA DO PARAÍSO,0.9397023647557943
SBTF,TEFÉ,0.8361691786965824
SBRB,SENA MADUREIRA,0.8131334023550152
SJQK,BOA VISTA,0.8064451974882103
SBUY,COARI,0.7870727841742339
SBMK,MONTES CLAROS,0.771669574850239
SBHT,ALTAMIRA,0.7652972324751318
SBIL,ILHÉUS,0.7585433426778762
SBCH,CHAPECÓ,0.7421376034617424
