Id,Semana,Ano
0,1,2010
1,2,2010
2,3,2010
3,4,2010
4,5,2010
5,6,2010
6,7,2010
7,8,2010
8,9,2010
9,10,2010
10,11,2010
11,12,2010
12,13,2010
13,14,2010
14,15,2010
15,16,2010
16,17,2010
17,18,2010
18,19,2010
19,20,2010
20,21,2010
21,22,2010
22,23,2010
23,24,2010
24,25,2010
25,26,2010
26,27,2010
27,28,2010
28,29,2010
29,30,2010
30,31,2010
31,32,2010
32,33,2010
33,34,2010
34,35,2010
35,36,2010
36,37,2010
37,38,2010
38,39,2010
39,40,2010
40,41,2010
41,42,2010
42,43,2010
43,44,2010
44,45,2010
45,46,2010
46,47,2010
47,48,2010
48,49,2010
49,50,2010
50,51,2010
51,52,2010
52,1,2011
53,2,2011
54,3,2011
55,4,2011
56,5,2011
57,6,2011
58,7,2011
59,8,2011
60,9,2011
61,10,2011
62,11,2011
63,12,2011
64,13,2011
65,14,2011
66,15,2011
67,16,2011
68,17,2011
69,18,2011
70,19,2011
71,20,2011
72,21,2011
73,22,2011
74,23,2011
75,24,2011
76,25,2011
77,26,2011
78,27,2011
79,28,2011
80,29,2011
81,30,2011
82,31,2011
83,32,2011
84,33,2011
85,34,2011
86,35,2011
87,36,2011
88,37,2011
89,38,2011
90,39,2011
91,40,2011
92,41,2011
93,42,2011
94,43,2011
95,44,2011
96,45,2011
97,46,2011
98,47,2011
99,48,2011
100,49,2011
101,50,2011
102,51,2011
103,52,2011
104,1,2012
105,2,2012
106,3,2012
107,4,2012
108,5,2012
109,6,2012
110,7,2012
111,8,2012
112,9,2012
113,10,2012
114,11,2012
115,12,2012
116,13,2012
117,14,2012
118,15,2012
119,16,2012
120,17,2012
121,18,2012
122,19,2012
123,20,2012
124,21,2012
125,22,2012
126,23,2012
127,24,2012
128,25,2012
129,26,2012
130,27,2012
131,28,2012
132,29,2012
133,30,2012
134,31,2012
135,32,2012
136,33,2012
137,34,2012
138,35,2012
139,36,2012
140,37,2012
141,38,2012
142,39,2012
143,40,2012
144,41,2012
145,42,2012
146,43,2012
147,44,2012
148,45,2012
149,46,2012
150,47,2012
151,48,2012
152,49,2012
153,50,2012
154,51,2012
155,52,2012
156,1,2013
157,2,2013
158,3,2013
159,4,2013
160,5,2013
161,6,2013
162,7,2013
163,8,2013
164,9,2013
165,10,2013
166,11,2013
167,12,2013
168,13,2013
169,14,2013
170,15,2013
171,16,2013
172,17,2013
173,18,2013
174,19,2013
175,20,2013
176,21,2013
177,22,2013
178,23,2013
179,24,2013
180,25,2013
181,26,2013
182,27,2013
183,28,2013
184,29,2013
185,30,2013
186,31,2013
187,32,2013
188,33,2013
189,34,2013
190,35,2013
191,36,2013
192,37,2013
193,38,2013
194,39,2013
195,40,2013
196,41,2013
197,42,2013
198,43,2013
199,44,2013
200,45,2013
201,46,2013
202,47,2013
203,48,2013
204,49,2013
205,50,2013
206,51,2013
207,52,2013
208,1,2014
209,2,2014
210,3,2014
211,4,2014
212,5,2014
213,6,2014
214,7,2014
215,8,2014
216,9,2014
217,10,2014
218,11,2014
219,12,2014
220,13,2014
221,14,2014
222,15,2014
223,16,2014
224,17,2014
225,18,2014
226,19,2014
227,20,2014
228,21,2014
229,22,2014
230,23,2014
231,24,2014
232,25,2014
233,26,2014
234,27,2014
235,28,2014
236,29,2014
237,30,2014
238,31,2014
239,32,2014
240,33,2014
241,34,2014
242,35,2014
243,36,2014
244,37,2014
245,38,2014
246,39,2014
247,40,2014
248,41,2014
249,42,2014
250,43,2014
251,44,2014
252,45,2014
253,46,2014
254,47,2014
255,48,2014
256,49,2014
257,50,2014
258,51,2014
259,52,2014
260,1,2015
261,2,2015
262,3,2015
263,4,2015
264,5,2015
265,6,2015
266,7,2015
267,8,2015
268,9,2015
269,10,2015
270,11,2015
271,12,2015
272,13,2015
273,14,2015
274,15,2015
275,16,2015
276,17,2015
277,18,2015
278,19,2015
279,20,2015
280,21,2015
281,22,2015
282,23,2015
283,24,2015
284,25,2015
285,26,2015
286,27,2015
287,28,2015
288,29,2015
289,30,2015
290,31,2015
291,32,2015
292,33,2015
293,34,2015
294,35,2015
295,36,2015
296,37,2015
297,38,2015
298,39,2015
299,40,2015
300,41,2015
301,42,2015
302,43,2015
303,44,2015
304,45,2015
305,46,2015
306,47,2015
307,48,2015
308,49,2015
309,50,2015
310,51,2015
311,52,2015
312,1,2016
313,2,2016
314,3,2016
315,4,2016
316,5,2016
317,6,2016
318,7,2016
319,8,2016
320,9,2016
321,10,2016
322,11,2016
323,12,2016
324,13,2016
325,14,2016
326,15,2016
327,16,2016
328,17,2016
329,18,2016
330,19,2016
331,20,2016
332,21,2016
333,22,2016
334,23,2016
335,24,2016
336,25,2016
337,26,2016
338,27,2016
339,28,2016
340,29,2016
341,30,2016
342,31,2016
343,32,2016
344,33,2016
345,34,2016
346,35,2016
347,36,2016
348,37,2016
349,38,2016
350,39,2016
351,40,2016
352,41,2016
353,42,2016
354,43,2016
355,44,2016
356,45,2016
357,46,2016
358,47,2016
359,48,2016
360,49,2016
361,50,2016
362,51,2016
363,52,2016
364,1,2017
365,2,2017
366,3,2017
367,4,2017
368,5,2017
369,6,2017
370,7,2017
371,8,2017
372,9,2017
373,10,2017
374,11,2017
375,12,2017
376,13,2017
377,14,2017
378,15,2017
379,16,2017
380,17,2017
381,18,2017
382,19,2017
383,20,2017
384,21,2017
385,22,2017
386,23,2017
387,24,2017
388,25,2017
389,26,2017
390,27,2017
391,28,2017
392,29,2017
393,30,2017
394,31,2017
395,32,2017
396,33,2017
397,34,2017
398,35,2017
399,36,2017
400,37,2017
401,38,2017
402,39,2017
403,40,2017
404,41,2017
405,42,2017
406,43,2017
407,44,2017
408,45,2017
409,46,2017
410,47,2017
411,48,2017
412,49,2017
413,50,2017
414,51,2017
415,52,2017
416,1,2018
417,2,2018
418,3,2018
419,4,2018
420,5,2018
421,6,2018
422,7,2018
423,8,2018
424,9,2018
425,10,2018
426,11,2018
427,12,2018
428,13,2018
429,14,2018
430,15,2018
431,16,2018
432,17,2018
433,18,2018
434,19,2018
435,20,2018
436,21,2018
437,22,2018
438,23,2018
439,24,2018
440,25,2018
441,26,2018
442,27,2018
443,28,2018
444,29,2018
445,30,2018
446,31,2018
447,32,2018
448,33,2018
449,34,2018
450,35,2018
451,36,2018
452,37,2018
453,38,2018
454,39,2018
455,40,2018
456,41,2018
457,42,2018
458,43,2018
459,44,2018
460,45,2018
461,46,2018
462,47,2018
463,48,2018
464,49,2018
465,50,2018
466,51,2018
467,52,2018
468,1,2019
469,2,2019
470,3,2019
471,4,2019
472,5,2019
473,6,2019
474,7,2019
475,8,2019
476,9,2019
477,10,2019
478,11,2019
479,12,2019
480,13,2019
481,14,2019
482,15,2019
483,16,2019
484,17,2019
485,18,2019
486,19,2019
487,20,2019
488,21,2019
489,22,2019
490,23,2019
491,24,2019
492,25,2019
493,26,2019
494,27,2019
495,28,2019
496,29,2019
497,30,2019
498,31,2019
499,32,2019
500,33,2019
501,34,2019
502,35,2019
503,36,2019
504,37,2019
505,38,2019
506,39,2019
507,40,2019
508,41,2019
509,42,2019
510,43,2019
511,44,2019
512,45,2019
513,46,2019
514,47,2019
515,48,2019
516,49,2019
517,50,2019
518,51,2019
519,52,2019
