Estado, Ano, Semana, NumCasos 
'Acre', 2010, 1, 1 
'Alagoas', 2010, 1, 0 
'Amapá', 2010, 1, 0 
'Amazonas', 2010, 1, 2 
'Bahia', 2010, 1, 1 
'Ceará', 2010, 1, 2 
'Distrito Federal', 2010, 1, 1 
'Espírito Santo', 2010, 1, 0 
'Goiás', 2010, 1, 6 
'Maranhão', 2010, 1, 0 
'Mato Grosso', 2010, 1, 3 
'Mato Grosso do Sul', 2010, 1, 0 
'Minas Gerais', 2010, 1, 8 
'Paraná', 2010, 1, 46 
'Paraíba', 2010, 1, 0 
'Pará', 2010, 1, 7 
'Pernambuco', 2010, 1, 2 
'Piauí', 2010, 1, 1 
'Rio Grande do Norte', 2010, 1, 8 
'Rio Grande do Sul', 2010, 1, 1 
'Rio de Janeiro', 2010, 1, 0 
'Rondônia', 2010, 1, 0 
'Roraima', 2010, 1, 0 
'Santa Catarina', 2010, 1, 4 
'Sergipe', 2010, 1, 0 
'São Paulo', 2010, 1, 69 
'Tocantins', 2010, 1, 0 
'Acre', 2011, 1, 0 
'Alagoas', 2011, 1, 0 
'Amapá', 2011, 1, 0 
'Amazonas', 2011, 1, 0 
'Bahia', 2011, 1, 0 
'Ceará', 2011, 1, 0 
'Distrito Federal', 2011, 1, 0 
'Espírito Santo', 2011, 1, 0 
'Goiás', 2011, 1, 0 
'Maranhão', 2011, 1, 0 
'Mato Grosso', 2011, 1, 0 
'Mato Grosso do Sul', 2011, 1, 0 
'Minas Gerais', 2011, 1, 2 
'Paraná', 2011, 1, 9 
'Paraíba', 2011, 1, 0 
'Pará', 2011, 1, 0 
'Pernambuco', 2011, 1, 0 
'Piauí', 2011, 1, 0 
'Rio Grande do Norte', 2011, 1, 0 
'Rio Grande do Sul', 2011, 1, 0 
'Rio de Janeiro', 2011, 1, 0 
'Rondônia', 2011, 1, 0 
'Roraima', 2011, 1, 0 
'Santa Catarina', 2011, 1, 6 
'Sergipe', 2011, 1, 0 
'São Paulo', 2011, 1, 13 
'Tocantins', 2011, 1, 0 
'Acre', 2012, 1, 1 
'Alagoas', 2012, 1, 0 
'Amapá', 2012, 1, 0 
'Amazonas', 2012, 1, 0 
'Bahia', 2012, 1, 0 
'Ceará', 2012, 1, 1 
'Distrito Federal', 2012, 1, 0 
'Espírito Santo', 2012, 1, 0 
'Goiás', 2012, 1, 1 
'Maranhão', 2012, 1, 1 
'Mato Grosso', 2012, 1, 0 
'Mato Grosso do Sul', 2012, 1, 1 
'Minas Gerais', 2012, 1, 35 
'Paraná', 2012, 1, 4 
'Paraíba', 2012, 1, 0 
'Pará', 2012, 1, 0 
'Pernambuco', 2012, 1, 1 
'Piauí', 2012, 1, 1 
'Rio Grande do Norte', 2012, 1, 2 
'Rio Grande do Sul', 2012, 1, 2 
'Rio de Janeiro', 2012, 1, 1 
'Rondônia', 2012, 1, 0 
'Roraima', 2012, 1, 0 
'Santa Catarina', 2012, 1, 5 
'Sergipe', 2012, 1, 0 
'São Paulo', 2012, 1, 14 
'Tocantins', 2012, 1, 0 
'Acre', 2013, 1, 2 
'Alagoas', 2013, 1, 0 
'Amapá', 2013, 1, 0 
'Amazonas', 2013, 1, 0 
'Bahia', 2013, 1, 2 
'Ceará', 2013, 1, 1 
'Distrito Federal', 2013, 1, 3 
'Espírito Santo', 2013, 1, 1 
'Goiás', 2013, 1, 0 
'Maranhão', 2013, 1, 0 
'Mato Grosso', 2013, 1, 0 
'Mato Grosso do Sul', 2013, 1, 1 
'Minas Gerais', 2013, 1, 22 
'Paraná', 2013, 1, 12 
'Paraíba', 2013, 1, 0 
'Pará', 2013, 1, 1 
'Pernambuco', 2013, 1, 0 
'Piauí', 2013, 1, 0 
'Rio Grande do Norte', 2013, 1, 1 
'Rio Grande do Sul', 2013, 1, 7 
'Rio de Janeiro', 2013, 1, 0 
'Rondônia', 2013, 1, 0 
'Roraima', 2013, 1, 0 
'Santa Catarina', 2013, 1, 2 
'Sergipe', 2013, 1, 0 
'São Paulo', 2013, 1, 19 
'Tocantins', 2013, 1, 0 
'Acre', 2014, 1, 2 
'Alagoas', 2014, 1, 0 
'Amapá', 2014, 1, 0 
'Amazonas', 2014, 1, 0 
'Bahia', 2014, 1, 3 
'Ceará', 2014, 1, 1 
'Distrito Federal', 2014, 1, 0 
'Espírito Santo', 2014, 1, 1 
'Goiás', 2014, 1, 1 
'Maranhão', 2014, 1, 0 
'Mato Grosso', 2014, 1, 1 
'Mato Grosso do Sul', 2014, 1, 0 
'Minas Gerais', 2014, 1, 22 
'Paraná', 2014, 1, 8 
'Paraíba', 2014, 1, 0 
'Pará', 2014, 1, 2 
'Pernambuco', 2014, 1, 3 
'Piauí', 2014, 1, 0 
'Rio Grande do Norte', 2014, 1, 1 
'Rio Grande do Sul', 2014, 1, 3 
'Rio de Janeiro', 2014, 1, 3 
'Rondônia', 2014, 1, 0 
'Roraima', 2014, 1, 0 
'Santa Catarina', 2014, 1, 8 
'Sergipe', 2014, 1, 0 
'São Paulo', 2014, 1, 21 
'Tocantins', 2014, 1, 0 
'Acre', 2015, 1, 4 
'Alagoas', 2015, 1, 0 
'Amapá', 2015, 1, 0 
'Amazonas', 2015, 1, 1 
'Bahia', 2015, 1, 5 
'Ceará', 2015, 1, 0 
'Distrito Federal', 2015, 1, 2 
'Espírito Santo', 2015, 1, 1 
'Goiás', 2015, 1, 3 
'Maranhão', 2015, 1, 0 
'Mato Grosso', 2015, 1, 1 
'Mato Grosso do Sul', 2015, 1, 0 
'Minas Gerais', 2015, 1, 19 
'Paraná', 2015, 1, 12 
'Paraíba', 2015, 1, 0 
'Pará', 2015, 1, 1 
'Pernambuco', 2015, 1, 18 
'Piauí', 2015, 1, 1 
'Rio Grande do Norte', 2015, 1, 4 
'Rio Grande do Sul', 2015, 1, 23 
'Rio de Janeiro', 2015, 1, 2 
'Rondônia', 2015, 1, 0 
'Roraima', 2015, 1, 0 
'Santa Catarina', 2015, 1, 4 
'Sergipe', 2015, 1, 0 
'São Paulo', 2015, 1, 10 
'Tocantins', 2015, 1, 0 
'Acre', 2016, 1, 1 
'Alagoas', 2016, 1, 0 
'Amapá', 2016, 1, 0 
'Amazonas', 2016, 1, 0 
'Bahia', 2016, 1, 2 
'Ceará', 2016, 1, 2 
'Distrito Federal', 2016, 1, 3 
'Espírito Santo', 2016, 1, 0 
'Goiás', 2016, 1, 1 
'Maranhão', 2016, 1, 0 
'Mato Grosso', 2016, 1, 0 
'Mato Grosso do Sul', 2016, 1, 5 
'Minas Gerais', 2016, 1, 8 
'Paraná', 2016, 1, 8 
'Paraíba', 2016, 1, 0 
'Pará', 2016, 1, 2 
'Pernambuco', 2016, 1, 14 
'Piauí', 2016, 1, 1 
'Rio Grande do Norte', 2016, 1, 0 
'Rio Grande do Sul', 2016, 1, 14 
'Rio de Janeiro', 2016, 1, 2 
'Rondônia', 2016, 1, 1 
'Roraima', 2016, 1, 0 
'Santa Catarina', 2016, 1, 4 
'Sergipe', 2016, 1, 0 
'São Paulo', 2016, 1, 23 
'Tocantins', 2016, 1, 1 
'Acre', 2017, 1, 6 
'Alagoas', 2017, 1, 0 
'Amapá', 2017, 1, 0 
'Amazonas', 2017, 1, 1 
'Bahia', 2017, 1, 6 
'Ceará', 2017, 1, 0 
'Distrito Federal', 2017, 1, 6 
'Espírito Santo', 2017, 1, 3 
'Goiás', 2017, 1, 10 
'Maranhão', 2017, 1, 1 
'Mato Grosso', 2017, 1, 2 
'Mato Grosso do Sul', 2017, 1, 3 
'Minas Gerais', 2017, 1, 28 
'Paraná', 2017, 1, 16 
'Paraíba', 2017, 1, 3 
'Pará', 2017, 1, 11 
'Pernambuco', 2017, 1, 14 
'Piauí', 2017, 1, 0 
'Rio Grande do Norte', 2017, 1, 1 
'Rio Grande do Sul', 2017, 1, 26 
'Rio de Janeiro', 2017, 1, 7 
'Rondônia', 2017, 1, 1 
'Roraima', 2017, 1, 0 
'Santa Catarina', 2017, 1, 4 
'Sergipe', 2017, 1, 0 
'São Paulo', 2017, 1, 40 
'Tocantins', 2017, 1, 0 
'Acre', 2018, 1, 2 
'Alagoas', 2018, 1, 1 
'Amapá', 2018, 1, 0 
'Amazonas', 2018, 1, 2 
'Bahia', 2018, 1, 2 
'Ceará', 2018, 1, 4 
'Distrito Federal', 2018, 1, 14 
'Espírito Santo', 2018, 1, 5 
'Goiás', 2018, 1, 4 
'Maranhão', 2018, 1, 1 
'Mato Grosso', 2018, 1, 2 
'Mato Grosso do Sul', 2018, 1, 5 
'Minas Gerais', 2018, 1, 16 
'Paraná', 2018, 1, 19 
'Paraíba', 2018, 1, 2 
'Pará', 2018, 1, 7 
'Pernambuco', 2018, 1, 19 
'Piauí', 2018, 1, 2 
'Rio Grande do Norte', 2018, 1, 1 
'Rio Grande do Sul', 2018, 1, 24 
'Rio de Janeiro', 2018, 1, 10 
'Rondônia', 2018, 1, 0 
'Roraima', 2018, 1, 0 
'Santa Catarina', 2018, 1, 6 
'Sergipe', 2018, 1, 0 
'São Paulo', 2018, 1, 36 
'Tocantins', 2018, 1, 1 
'Acre', 2019, 1, 7 
'Alagoas', 2019, 1, 1 
'Amapá', 2019, 1, 1 
'Amazonas', 2019, 1, 3 
'Bahia', 2019, 1, 11 
'Ceará', 2019, 1, 3 
'Distrito Federal', 2019, 1, 11 
'Espírito Santo', 2019, 1, 3 
'Goiás', 2019, 1, 9 
'Maranhão', 2019, 1, 2 
'Mato Grosso', 2019, 1, 2 
'Mato Grosso do Sul', 2019, 1, 11 
'Minas Gerais', 2019, 1, 33 
'Paraná', 2019, 1, 29 
'Paraíba', 2019, 1, 1 
'Pará', 2019, 1, 5 
'Pernambuco', 2019, 1, 43 
'Piauí', 2019, 1, 6 
'Rio Grande do Norte', 2019, 1, 1 
'Rio Grande do Sul', 2019, 1, 10 
'Rio de Janeiro', 2019, 1, 10 
