Sigla,Descricao,Cidade
1AON,OUROLANDIA DO NORTE,OURILANDIA DO NORTE
2NHT,HOTEL TRANSAMÉRICA,UNA
6ASO,SORRISO,SORRISO
SBAA,CONCEIÇÃO DO ARAGUAIA,CONCEIÇÃO DO ARAGUAIA
SBAE,BAURU/AREALVA,AREALVA
SBAF,CAMPO DOS AFONSOS,RIO DE JANEIRO
SBAG,ANGRA DOS REIS,ANGRA DOS REIS
SBAM,AMAPÁ,AMAPÁ
SBAN,BASE AEREA DE ANAPOLIS,ANÁPOLIS
SBAQ,BARTOLOMEU DE GUSMÃO,ARARAQUARA
SBAR,SANTA MARIA,ARACAJU
SBAS,MARCELO PIRES HALZHAUSEN,ASSIS
SBAT,DEPUTADO BENEDITO SANTIAGO,ALTA FLORESTA
SBAU,ESTADUAL DARIO GUARITA,ARAÇATUBA
SBAV,USINA PORTO PRIMAVERA,TEODORO SAMPAIO
SBAX,ROMEU ZEMA,ARAXÁ
SBBE,VAL DE CANS,BELÉM
SBBG,COMANDANTE GUSTAVO KRAEMER,BAGÉ
SBBH,PAMPULHA - CARLOS DRUMMOND DE ANDRADE,BELO HORIZONTE
SBBI,BACACHERI,CURITIBA
SBBQ,MAJOR BRIGADEIRO DO AR DOORGAL GOMES,BARBACENA
SBBR,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA
SBBT,CHAFEI AMSEI,BARRETOS
SBBU,BAURU,BAURU
SBBV,ATLAS BRASIL CANTANHEDE,BOA VISTA
SBBW,BARRA DO GARÇAS,BARRA DO GARÇAS
SBBZ,UMBERTO MODIANO,ARMAÇÃO DE BÚZIOS
SBCA,ADALBERTO MENDES DA SILVA,CASCAVEL
SBCB,CABO FRIO,CABO FRIO
SBCC,CACHIMBO,NOVO PROGRESSO
SBCD,CARLOS ALBERTO DA COSTA NEVES,CAÇADOR
SBCF,TANCREDO NEVES,CONFINS
SBCG,CAMPO GRANDE,CAMPO GRANDE
SBCH,SERAFIN ENOSS BERTASO,CHAPECÓ
SBCI,BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,CAROLINA
SBCJ,CARAJÁS,PARAUAPEBAS
SBCM,DIOMÍCIO FREITAS,FORQUILHINHA
SBCN,NELSON RODRIGUES GUIMARÃES,CALDAS NOVAS
SBCO,CANOAS,CANOAS
SBCP,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES
SBCR,CORUMBÁ,CORUMBÁ
SBCT,AFONSO PENA,SÃO JOSÉ DOS PINHAIS
SBCV,CARAVELAS,CARAVELAS
SBCX,REGIONAL HUGO CANTERGIANI,CAXIAS DO SUL
SBCY,MARECHAL RONDON,VÁRZEA GRANDE
SBCZ,CRUZEIRO DO SUL,CRUZEIRO DO SUL
SBDB,BONITO,BONITO
SBDN,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE
SBDO,AEROPORTO MUNCIPAL DE DOURADOS,DOURADOS
SBEG,EDUARDO GOMES,MANAUS
SBEK,JACAREACANGA,JACAREACANGA
