ESTADO,SEMANA,ANO,VOOS,CASOS
AC,1,2010,1,1
AC,2,2010,1,1
AC,3,2010,5,1
AC,4,2010,0,1
AC,5,2010,14,2
AC,6,2010,1,2
AC,7,2010,0,1
AC,8,2010,1,2
AC,9,2010,1,4
AC,10,2010,0,5
AC,11,2010,0,3
AC,12,2010,0,1
AC,13,2010,0,5
AC,14,2010,0,1
AC,15,2010,0,2
AC,16,2010,0,1
AC,17,2010,0,1
AC,18,2010,0,0
AC,19,2010,0,0
AC,20,2010,0,3
AC,21,2010,0,0
AC,22,2010,0,0
AC,23,2010,0,0
AC,24,2010,0,2
AC,25,2010,0,0
AC,26,2010,0,0
AC,27,2010,0,0
AC,28,2010,0,0
AC,29,2010,0,0
AC,30,2010,0,2
AC,31,2010,0,0
AC,32,2010,0,0
AC,33,2010,0,0
AC,34,2010,0,1
AC,35,2010,0,0
AC,36,2010,0,0
AC,37,2010,0,0
AC,38,2010,0,1
AC,39,2010,0,0
AC,40,2010,0,0
AC,41,2010,0,1
AC,42,2010,1,0
AC,43,2010,2,0
AC,44,2010,0,0
AC,45,2010,0,0
AC,46,2010,0,1
AC,47,2010,0,0
AC,48,2010,0,0
AC,49,2010,0,0
AC,50,2010,0,0
AC,51,2010,0,0
AC,52,2010,58,0
AC,1,2011,1,0
AC,2,2011,0,0
AC,3,2011,0,0
AC,4,2011,0,0
AC,5,2011,0,0
AC,6,2011,1,0
AC,7,2011,0,0
AC,8,2011,0,0
AC,9,2011,0,0
AC,10,2011,0,0
AC,11,2011,0,0
AC,12,2011,0,0
AC,13,2011,0,0
AC,14,2011,0,0
AC,15,2011,0,0
AC,16,2011,0,0
AC,17,2011,0,0
AC,18,2011,0,0
AC,19,2011,0,0
AC,20,2011,0,0
AC,21,2011,0,0
AC,22,2011,0,0
AC,23,2011,0,3
AC,24,2011,0,2
AC,25,2011,0,0
AC,26,2011,0,0
AC,27,2011,0,3
AC,28,2011,0,1
AC,29,2011,0,1
AC,30,2011,0,0
AC,31,2011,0,0
AC,32,2011,0,1
AC,33,2011,0,6
AC,34,2011,1,4
AC,35,2011,0,2
AC,36,2011,1,1
AC,37,2011,0,0
AC,38,2011,0,1
AC,39,2011,0,0
AC,40,2011,0,0
AC,41,2011,0,0
AC,42,2011,0,0
AC,43,2011,0,0
AC,44,2011,0,0
AC,45,2011,0,0
AC,46,2011,0,0
AC,47,2011,0,0
AC,48,2011,0,0
AC,49,2011,0,0
AC,50,2011,0,0
AC,51,2011,0,0
AC,52,2011,1,0
AC,1,2012,0,1
AC,2,2012,0,1
AC,3,2012,0,0
AC,4,2012,0,0
AC,5,2012,0,0
AC,6,2012,0,0
AC,7,2012,0,0
AC,8,2012,0,1
AC,9,2012,0,2
AC,10,2012,0,0
AC,11,2012,1,2
AC,12,2012,0,3
AC,13,2012,0,0
AC,14,2012,0,2
AC,15,2012,0,0
AC,16,2012,0,0
AC,17,2012,0,1
AC,18,2012,0,0
AC,19,2012,0,0
AC,20,2012,0,2
AC,21,2012,0,0
AC,22,2012,0,0
AC,23,2012,0,1
AC,24,2012,0,0
AC,25,2012,0,0
AC,26,2012,0,1
AC,27,2012,0,2
AC,28,2012,0,0
AC,29,2012,0,0
AC,30,2012,0,0
AC,31,2012,0,0
AC,32,2012,0,0
AC,33,2012,0,3
AC,34,2012,0,1
AC,35,2012,0,0
AC,36,2012,0,1
AC,37,2012,1,1
AC,38,2012,0,2
AC,39,2012,0,4
AC,40,2012,1,0
AC,41,2012,0,4
AC,42,2012,0,0
AC,43,2012,0,0
AC,44,2012,0,2
AC,45,2012,0,2
AC,46,2012,0,3
AC,47,2012,0,1
AC,48,2012,0,2
AC,49,2012,0,3
AC,50,2012,0,0
AC,51,2012,0,1
AC,52,2012,0,1
AC,1,2013,0,2
AC,2,2013,0,2
AC,3,2013,0,0
AC,4,2013,0,0
AC,5,2013,0,0
AC,6,2013,0,0
AC,7,2013,0,0
AC,8,2013,0,0
AC,9,2013,0,2
AC,10,2013,0,2
AC,11,2013,0,5
AC,12,2013,0,3
AC,13,2013,0,0
AC,14,2013,0,3
AC,15,2013,0,1
AC,16,2013,0,1
AC,17,2013,0,2
AC,18,2013,0,2
AC,19,2013,0,0
AC,20,2013,0,2
AC,21,2013,0,1
AC,22,2013,0,1
AC,23,2013,0,4
AC,24,2013,0,3
AC,25,2013,0,0
AC,26,2013,0,1
AC,27,2013,0,2
AC,28,2013,0,3
AC,29,2013,0,1
AC,30,2013,0,3
AC,31,2013,0,0
AC,32,2013,0,7
AC,33,2013,0,5
AC,34,2013,0,6
AC,35,2013,0,6
AC,36,2013,0,5
AC,37,2013,0,6
AC,38,2013,0,6
AC,39,2013,0,2
AC,40,2013,0,4
AC,41,2013,0,3
AC,42,2013,0,5
AC,43,2013,0,2
AC,44,2013,0,3
AC,45,2013,0,2
AC,46,2013,0,1
AC,47,2013,0,1
AC,48,2013,0,0
AC,49,2013,0,4
AC,50,2013,0,2
AC,51,2013,0,2
AC,52,2013,0,5
AC,1,2014,0,2
AC,2,2014,0,0
AC,3,2014,0,1
AC,4,2014,0,0
AC,5,2014,0,0
AC,6,2014,0,2
AC,7,2014,0,3
AC,8,2014,0,6
AC,9,2014,0,4
AC,10,2014,0,4
AC,11,2014,0,2
AC,12,2014,0,3
AC,13,2014,0,3
AC,14,2014,0,5
AC,15,2014,0,2
AC,16,2014,0,2
AC,17,2014,0,3
AC,18,2014,0,2
AC,19,2014,0,5
AC,20,2014,0,9
AC,21,2014,0,0
AC,22,2014,0,1
AC,23,2014,0,1
AC,24,2014,0,5
AC,25,2014,0,2
AC,26,2014,0,2
AC,27,2014,0,0
AC,28,2014,0,4
AC,29,2014,0,2
AC,30,2014,0,3
AC,31,2014,0,3
AC,32,2014,0,0
AC,33,2014,0,2
AC,34,2014,0,1
AC,35,2014,0,0
AC,36,2014,0,0
AC,37,2014,0,1
AC,38,2014,0,0
AC,39,2014,0,1
AC,40,2014,0,0
AC,41,2014,0,1
AC,42,2014,0,2
AC,43,2014,0,1
AC,44,2014,0,2
AC,45,2014,0,3
AC,46,2014,0,1
AC,47,2014,0,3
AC,48,2014,0,3
AC,49,2014,0,6
AC,50,2014,0,7
AC,51,2014,0,6
AC,52,2014,0,4
AC,1,2015,0,4
AC,2,2015,0,2
AC,3,2015,0,2
AC,4,2015,0,3
AC,5,2015,0,7
AC,6,2015,0,2
AC,7,2015,0,0
AC,8,2015,0,1
AC,9,2015,0,4
AC,10,2015,0,2
AC,11,2015,0,1
AC,12,2015,0,0
AC,13,2015,0,7
AC,14,2015,0,3
AC,15,2015,0,4
AC,16,2015,0,2
