Estado,Periodo,NumCasos
Acre,0,1
Alagoas,0,0
Amapá,0,0
Amazonas,0,2
Bahia,0,1
Ceará,0,2
Distrito Federal,0,1
Espírito Santo,0,0
Goiás,0,6
Maranhão,0,0
Mato Grosso,0,3
Mato Grosso do Sul,0,0
Minas Gerais,0,8
Paraná,0,46
Paraíba,0,0
Pará,0,7
Pernambuco,0,2
Piauí,0,1
Rio Grande do Norte,0,8
Rio Grande do Sul,0,1
Rio de Janeiro,0,0
Rondônia,0,0
Roraima,0,0
Santa Catarina,0,4
Sergipe,0,0
São Paulo,0,69
Tocantins,0,0
Acre,52,0
Alagoas,52,0
Amapá,52,0
Amazonas,52,0
Bahia,52,0
Ceará,52,0
Distrito Federal,52,0
Espírito Santo,52,0
Goiás,52,0
Maranhão,52,0
Mato Grosso,52,0
Mato Grosso do Sul,52,0
Minas Gerais,52,2
Paraná,52,9
Paraíba,52,0
Pará,52,0
Pernambuco,52,0
Piauí,52,0
Rio Grande do Norte,52,0
Rio Grande do Sul,52,0
Rio de Janeiro,52,0
Rondônia,52,0
Roraima,52,0
Santa Catarina,52,6
Sergipe,52,0
São Paulo,52,13
Tocantins,52,0
Acre,104,1
Alagoas,104,0
Amapá,104,0
Amazonas,104,0
Bahia,104,0
Ceará,104,1
Distrito Federal,104,0
Espírito Santo,104,0
Goiás,104,1
Maranhão,104,1
Mato Grosso,104,0
Mato Grosso do Sul,104,1
Minas Gerais,104,35
Paraná,104,4
Paraíba,104,0
Pará,104,0
Pernambuco,104,1
Piauí,104,1
Rio Grande do Norte,104,2
Rio Grande do Sul,104,2
Rio de Janeiro,104,1
Rondônia,104,0
Roraima,104,0
Santa Catarina,104,5
Sergipe,104,0
São Paulo,104,14
Tocantins,104,0
Acre,156,2
Alagoas,156,0
Amapá,156,0
Amazonas,156,0
Bahia,156,2
Ceará,156,1
Distrito Federal,156,3
Espírito Santo,156,1
Goiás,156,0
Maranhão,156,0
Mato Grosso,156,0
Mato Grosso do Sul,156,1
Minas Gerais,156,22
Paraná,156,12
Paraíba,156,0
Pará,156,1
Pernambuco,156,0
Piauí,156,0
Rio Grande do Norte,156,1
Rio Grande do Sul,156,7
Rio de Janeiro,156,0
Rondônia,156,0
Roraima,156,0
Santa Catarina,156,2
Sergipe,156,0
São Paulo,156,19
Tocantins,156,0
Acre,208,2
Alagoas,208,0
Amapá,208,0
Amazonas,208,0
Bahia,208,3
Ceará,208,1
Distrito Federal,208,0
Espírito Santo,208,1
Goiás,208,1
Maranhão,208,0
Mato Grosso,208,1
Mato Grosso do Sul,208,0
Minas Gerais,208,22
Paraná,208,8
Paraíba,208,0
Pará,208,2
Pernambuco,208,3
Piauí,208,0
Rio Grande do Norte,208,1
Rio Grande do Sul,208,3
Rio de Janeiro,208,3
Rondônia,208,0
Roraima,208,0
Santa Catarina,208,8
Sergipe,208,0
São Paulo,208,21
Tocantins,208,0
Acre,260,4
Alagoas,260,0
Amapá,260,0
Amazonas,260,1
Bahia,260,5
Ceará,260,0
Distrito Federal,260,2
Espírito Santo,260,1
Goiás,260,3
Maranhão,260,0
Mato Grosso,260,1
Mato Grosso do Sul,260,0
Minas Gerais,260,19
Paraná,260,12
Paraíba,260,0
Pará,260,1
Pernambuco,260,18
Piauí,260,1
Rio Grande do Norte,260,4
Rio Grande do Sul,260,23
Rio de Janeiro,260,2
Rondônia,260,0
Roraima,260,0
Santa Catarina,260,4
Sergipe,260,0
São Paulo,260,10
Tocantins,260,0
Acre,312,1
Alagoas,312,0
Amapá,312,0
Amazonas,312,0
Bahia,312,2
Ceará,312,2
Distrito Federal,312,3
Espírito Santo,312,0
Goiás,312,1
Maranhão,312,0
Mato Grosso,312,0
Mato Grosso do Sul,312,5
Minas Gerais,312,8
Paraná,312,8
Paraíba,312,0
Pará,312,2
Pernambuco,312,14
Piauí,312,1
Rio Grande do Norte,312,0
Rio Grande do Sul,312,14
Rio de Janeiro,312,2
Rondônia,312,1
Roraima,312,0
Santa Catarina,312,4
Sergipe,312,0
São Paulo,312,23
Tocantins,312,1
Acre,364,6
Alagoas,364,0
Amapá,364,0
Amazonas,364,1
Bahia,364,6
Ceará,364,0
Distrito Federal,364,6
Espírito Santo,364,3
Goiás,364,10
Maranhão,364,1
Mato Grosso,364,2
Mato Grosso do Sul,364,3
Minas Gerais,364,28
Paraná,364,16
Paraíba,364,3
Pará,364,11
Pernambuco,364,14
Piauí,364,0
Rio Grande do Norte,364,1
