Nome,Estado
PA,OURILANDIA DO NORTE
BA,UNA 
MT,SORRISO
PA,CONCEIÇÃO DO ARAGUAIA
SP,AREALVA
RJ,RIO DE JANEIRO
RJ,ANGRA DOS REIS  
AP,AMAPÁ
GO,ANÁPOLIS
SP,ARARAQUARA
SE,ARACAJU
SP,ASSIS
MT,ALTA FLORESTA
SP,ARAÇATUBA
SP,TEODORO SAMPAIO
MG,ARAXÁ
PA,BELÉM
RS,BAGÉ
MG,BELO HORIZONTE
PR,CURITIBA
MG,BARBACENA
DF,BRASÍLIA
SP,BARRETOS
SP,BAURU
RR,BOA VISTA
MT,BARRA DO GARÇAS
RJ,ARMAÇÃO DE BÚZIOS
PR,CASCAVEL
RJ,CABO FRIO
PA,NOVO PROGRESSO
SC,CAÇADOR
MG,CONFINS
MS,CAMPO GRANDE
SC,CHAPECÓ
MA,CAROLINA
PA,PARAUAPEBAS
SC,FORQUILHINHA
GO,CALDAS NOVAS
RS,CANOAS
RJ,CAMPOS DOS GOYTACAZES
MS,CORUMBÁ
PR,SÃO JOSÉ DOS PINHAIS
BA,CARAVELAS
RS,CAXIAS DO SUL
MT,VÁRZEA GRANDE
AC,CRUZEIRO DO SUL
MS,BONITO
SP,PRESIDENTE PRUDENTE
MS,DOURADOS
AM,MANAUS
PA,JACAREACANGA
SP,FRANCA
PR,FOZ DO IGUAÇU
SC,FLORIANÓPOLIS
PE,FERNANDO DE NORONHA
CE,FORTALEZA
RO,GUAJARÁ-MIRIM
GO,GOIÂNIA
SP,GAVIÃO PEIXOTO
SP,GUARULHOS
PR,PONTA GROSSA
PR,GUARAPUAVA
MG,GOVERNADOR VALADARES
PA,ALTAMIRA
AM,ITACOATIARA
PA,ITAITUBA
BA,ILHÉUS
MG,SANTANA DO PARAÍSO
GO,Itumbiara
MA,IMPERATRIZ
SC,JAGUARUNA
SP,JUNDIAÍ
MG,JUIZ DE FORA
RO,JI-PARANÁ
PB,BAYEUX
CE,JUAZEIRO DO NORTE
SC,JOINVILLE
PB,CAMPINA GRANDE
SP,CAMPINAS
BA,LENÇÓIS
SC,LAGES
SP,LINS
PR,LONDRINA
BA,BOM JESUS DA LAPA
PA,MARABÁ
GO,MINAÇU
PA,ALMEIRIM
RJ,MACAÉ
PR,MARINGÁ
MG,MONTES CLAROS
SP,MARÍLIA
AL,RIO LARGO
AP,MACAPÁ
RN,MOSSORÓ
SP,SÃO PAULO
AM,MANICORÉ
SC,NAVEGANTES
RS,SANTO ÂNGELO
RN,PARNAMIRIM
AP,OIAPOQUE
RS,PORTO ALEGRE
PI,PARNAÍBA
MG,POÇOS DE CALDAS
RS,PASSO FUNDO
TO,PALMAS
RS,PELOTAS
PE,PETROLINA
TO,PORTO NACIONAL
MS,PONTA PORÃ
BA,PORTO SEGURO
RO,PORTO VELHO
BA,VITÓRIA DA CONQUISTA
AC,SENA MADUREIRA
MT,RONDONÓPOLIS
PE,RECIFE
RS,RIO GRANDE
SP,RIBEIRÃO PRETO
RN,SÃO GONÇALO DO AMARANTE
SP,SÃO JOSÉ DOS CAMPOS
MA,SÃO LUÍS
RS,SANTA MARIA
PA,SANTARÉM
SP,SÃO JOSÉ DO RIO PRETO
SP,SANTOS
BA,SALVADOR
