sigla,communityId
SWZM,395
SWYY,335
SWYN,393
SWYK,392
SWXV,391
SWXM,390
SWWU,389
SWWD,388
SWWA,335
SWVR,386
SWVC,335
SWUY,348
SWUQ,348
SWUA,382
SWTU,381
SWTS,409
SWTP,348
SWSQ,378
SWSI,409
SWRP,409
SWRD,409
SWQR,348
SWPQ,373
SWPJ,372
SWPI,348
SWPF,370
SWPD,369
SWPC,348
SWOW,367
SWOB,348
SWNS,335
SWNQ,364
SWNO,363
SWNK,348
SWNH,361
SWNA,360
SWMW,348
SWMP,358
SWLV,357
SWLC,26
SWLB,348
SWKO,348
SWKN,26
SWKK,352
SWKC,409
SWJW,350
SWJU,349
SWJQ,348
SWJP,347
SWJN,409
SWJI,348
SWJH,344
SWIQ,335
SWII,342
SWHT,348
SWHP,335
SWHG,335
SWGP,335
SWGN,335
SWGI,335
SWFX,335
SWFN,334
SWFJ,333
SWEU,332
SWEK,331
SWEI,348
SWEE,329
SWDM,328
SWDE,335
SWDB,335
SWCQ,325
SWCP,324
SWCI,323
SWCB,335
SWCA,348
SWBZ,320
SWBV,348
SWBU,348
SWBR,348
SWBI,348
SWBC,348
SWAE,348
SSZR,287
SSVI,312
SSUW,311
SSUM,287
SSTL,409
SSTD,308
SSSC,287
SSPK,306
SSPG,287
SSPB,287
SSOE,287
SSNM,302
SSNH,301
SSND,300
SSNC,299
SSLT,298
SSLS,297
SSKW,409
SSKM,287
SSJA,287
SSIJ,287
SSHZ,292
SSFB,287
SSER,287
SSDO,409
SSCN,288
SSCK,287
SSCC,286
SSBN,285
SSBG,284
SSBB,283
SSAC,282
SNZA,26
SNYV,280
SNYB,26
SNYA,348
SNXW,277
SNXL,335
SNWR,275
SNVV,274
SNVS,348
SNVR,272
SNVB,117
SNUO,270
SNUI,26
SNUC,268
SNUB,26
SNTS,266
SNTP,265
SNTO,26
SNTI,263
SNTF,26
SNSW,348
SNSM,260
SNSH,259
SNRU,117
SNRB,257
SNQY,256
SNQW,255
SNQG,254
SNQD,253
SNPY,409
SNPV,251
SNPP,26
SNPJ,26
SNPG,248
SNPD,26
SNPC,246
SNOX,348
SNOB,244
SNNG,243
SNNC,242
SNMZ,348
SNMX,240
SNMU,239
SNML,238
SNMK,237
SNMJ,117
SNMH,335
SNMD,234
SNMA,233
SNLA,232
SNKK,231
SNKI,26
SNKE,335
SNJR,26
SNJK,227
SNJD,226
SNJB,117
SNIU,117
SNIG,223
SNIC,117
SNHS,117
SNGV,26
SNGI,26
SNFX,335
SNFE,26
SNEB,348
SNDV,26
SNDT,26
SNDR,117
SNDM,212
SNDH,211
SNDC,335
SNDB,209
SNCI,117
SNCB,207
SNBX,206
SNBW,205
SNBV,204
SNBU,117
SNBS,202
SNBR,26
SNBI,200
SNBA,26
SNAV,117
SNAT,197
SNAP,335
SNAH,195
SNAB,194
SJVO,335
SJUR,192
SJUQ,348
SJTS,190
SJTC,409
SJRG,287
SJQP,187
SJQK,348
SJNP,185
SJLU,348
SJLM,348
SJKB,182
SJHG,335
SJGU,335
SJDB,179
SJCW,348
SIZX,409
SIXE,287
SISO,175
SIRI,117
SIQE,173
SIMK,26
SILJ,171
SILC,409
SIKC,169
SIGP,168
SIFV,167
SIBU,166
SDZY,26
SDVG,164
SDVE,163
SDUN,162
SDUB,335
SDTK,26
SDSC,26
SDRS,26
SDPA,157
SDOW,335
SDOV,335
SDOU,154
SDMC,26
SDLU,152
SDLK,151
SDFR,150
SDCO,409
SDCG,348
SDBK,147
SDBB,146
SDAM,26
SDAG,26
SDAA,143
SBZM,26
SBYS,26
SBYA,140
SBVT,26
SBVH,409
SBVG,26
SBUY,348
SBUR,26
SBUL,26
SBUG,287
SBUF,117
SBUA,348
SBTV,26
SBTU,335
SBTT,348
SBTS,127
SBTR,287
SBTL,125
SBTK,124
SBTG,409
SBTF,348
SBTE,117
SBTD,287
SBTC,117
SBTB,348
SBSV,117
SBST,116
SBSR,409
SBSP,117
SBSN,348
SBSM,287
SBSL,117
SBSJ,26
SBSG,117
SBSC,108
SBRP,409
SBRJ,26
SBRG,287
SBRF,117
SBRD,409
SBRB,348
SBQV,26
SBPV,348
SBPS,117
SBPP,98
SBPN,335
SBPM,96
SBPL,117
SBPK,287
SBPJ,335
SBPF,287
SBPC,26
SBPB,117
SBPA,287
SBOI,348
SBNT,117
SBNM,287
SBNF,287
SBMY,348
SBMT,83
SBMS,117
SBMQ,348
SBMO,117
SBMN,348
SBML,409
SBMK,26
SBMH,76
SBMG,409
SBME,26
SBMD,348
SBMC,335
SBMA,335
SBLP,26
SBLO,409
SBLN,68
SBLJ,287
SBLE,117
SBKP,26
SBKG,117
SBJV,287
SBJU,117
SBJR,26
SBJP,117
SBJI,409
SBJF,26
SBJD,287
SBJC,287
SBJA,287
SBIZ,117
SBIT,53
SBIP,26
SBIL,26
SBIH,348
SBIC,49
SBHT,348
SBGV,26
SBGU,287
SBGS,45
SBGR,409
SBGP,26
SBGO,335
SBGM,41
SBGL,117
SBFZ,117
SBFN,117
SBFL,287
SBFI,287
SBFC,35
SBEK,34
SBEG,348
SBDO,409
SBDN,409
SBDB,409
SBCZ,348
SBCY,409
SBCX,287
SBCV,26
SBCT,287
SBCR,409
SBCP,26
SBCO,22
SBCN,409
SBCM,287
SBCJ,335
SBCI,335
SBCH,287
SBCG,409
SBCF,26
SBCD,287
SBCC,13
SBCB,26
SBCA,409
SBBZ,26
SBBW,335
SBBV,348
SBBU,26
SBBT,409
SBBR,335
SBBQ,26
SBBI,26
SBBH,26
SBBG,26
SBBE,348
SBAX,26
SBAV,410
SBAU,409
SBAT,409
SBAS,407
SBAR,117
SBAQ,409
SBAN,335
SBAM,403
SBAG,26
SBAF,401
SBAE,409
SBAA,335
6ASO,398
2NHT,397
1AON,396
