Id,Origem,Destino,VoosTotais
0,SBGL,SBGR,63607
1,SBGR,SBGL,60248
2,SBSV,SBRF,42575
3,SBAR,SBSV,16403
4,SBSV,SBAR,16475
5,SBRJ,SBSV,5168
6,SBSV,SBRJ,5107
7,SBKP,SBRJ,39494
8,SBRJ,SBKP,39513
9,SBKP,SBCG,12722
10,SBCG,SBKP,12836
11,SBKP,SBMG,8782
12,SBMG,SBKP,8739
13,SBKP,SBCF,37761
14,SBCF,SBKP,38021
15,SBKP,SBFL,13649
16,SBFL,SBKP,13708
17,SBKP,SBSV,17745
18,SBSV,SBKP,18044
19,SBKP,SBPA,26557
20,SBPA,SBKP,27118
21,SBKP,SBCT,36108
22,SBKP,SBVT,11164
23,SBVT,SBSV,5777
24,SBCT,SBKP,35800
25,SBVT,SBKP,11893
26,SBSV,SBVT,5781
27,SBPA,SBRJ,12529
28,SBRJ,SBPA,12547
29,SBKP,SBRF,13520
30,SBRF,SBKP,13634
31,SBKP,SBFZ,9154
32,SBFZ,SBKP,9190
33,SBKP,SBNF,14675
34,SBNF,SBKP,14459
35,SBNF,SBPA,8116
36,SBPA,SBNF,7857
37,SBKP,SBEG,7568
38,SBEG,SBKP,6693
39,SBKP,SBMO,5032
40,SBMO,SBKP,5033
41,SBKP,SBNT,3623
42,SBNT,SBKP,3633
43,SBGR,SBFL,42965
44,SBFL,SBGR,42353
45,SBGR,SBFZ,48606
46,SBFZ,SBGR,49083
47,SBSV,SBGR,75492
48,SBGR,SBSV,77189
49,SBGL,SBSV,47791
50,SBSV,SBGL,48996
51,SBGL,SBJP,11683
52,SBSP,SBGL,36087
53,SBSP,SBBR,85294
54,SBBR,SBSP,85106
55,SBKP,SBGR,2514
56,SBBR,SBPJ,16529
57,SBRF,SBBR,24335
58,SBNT,SBRF,9844
59,SBPJ,SBBR,16570
60,SBRF,SBNT,9889
61,SBBR,SBRF,23448
62,SBBE,SBMQ,25952
63,SBBR,SBBE,21155
64,SBSP,SBCG,12263
65,SBCG,SBSP,12261
66,SBSP,SBCT,64372
67,SBCT,SBSP,64134
68,SBCT,SBMG,16737
69,SBCT,SBFI,19331
70,SBMG,SBCT,16649
71,SBFI,SBCT,19159
72,SBCF,SBBR,46430
73,SBBR,SBCF,46788
74,SBRJ,SBVT,32646
75,SBVT,SBRJ,32489
76,SBEG,SBBR,21590
77,SBBR,SBVT,7492
78,SBSP,SBPA,60469
79,SBVT,SBBR,7482
80,SBBR,SBEG,21303
81,SBPA,SBFL,23390
82,SBSP,SBCF,70719
83,SBCF,SBSP,71373
84,SBCF,SBSV,28212
85,SBCT,SBPA,33917
86,SBRF,SBFZ,35310
87,SBCF,SBFZ,4040
88,SBRF,SBSV,39651
89,SBSV,SBCF,26965
90,SBFZ,SBRF,34420
91,SBPA,SBSP,59899
92,SBSP,SBFL,38345
93,SBFL,SBCH,14484
94,SBFL,SBSP,38059
95,SBCH,SBFL,14383
96,SBSP,SBLO,13699
97,SBLO,SBSP,13632
98,SBSP,SBNF,26202
99,SBNF,SBSP,26121
100,SBCF,SBRJ,48073
101,SBRJ,SBCF,48323
102,SBSP,SBUL,19350
103,SBUL,SBSP,19070
104,SBCT,SBLO,20182
105,SBLO,SBCT,20124
106,SBBR,SBFZ,23797
107,SBSP,SBSV,19198
108,SBFZ,SBBR,23494
109,SBSV,SBSP,18867
110,SBSP,SBCX,5576
111,SBCX,SBSP,5536
112,SBSP,SBVT,21713
113,SBGL,SBRF,34277
114,SBRF,SBGL,34213
115,SBGO,SBSP,29345
116,SBSP,SBGO,29305
117,SBSP,SBDN,7963
118,SBDN,SBSP,7952
119,SBCF,SBGL,25168
120,SBVT,SBSP,21744
121,SBCY,SBGR,26319
122,SBDN,SBCY,783
123,SBSP,SBJV,14032
124,SBJV,SBSP,13976
125,SBGL,SBSP,34167
126,SBMO,SBGL,7739
127,SBGL,SBMO,7894
128,SBSP,SBIL,5701
129,SBIL,SBSV,12428
130,SBSV,SBIL,13027
131,SBIL,SBSP,5745
132,SBRJ,SBSP,201210
133,SBSP,SBRJ,201378
134,SBCT,SBCG,5134
135,SBGR,SBCT,59021
136,SBCT,SBGR,59170
137,SBBR,SBRJ,52837
138,SBRJ,SBBR,53908
139,SBEG,SBBV,10977
140,SBBV,SBEG,11041
141,SBKP,SBBR,28347
142,SBBR,SBKP,28707
143,SBSV,SBNT,6121
144,SBNT,SBSV,6102
145,SBSV,SBFZ,15943
146,SBFZ,SBSV,15956
147,SBSV,SBMO,12611
148,SBBR,SBCT,19052
149,SBMO,SBSV,12688
150,SBUL,SBGL,901
151,SBGL,SBUL,849
152,SBBR,SBSV,31276
153,SBSV,SBBR,31101
154,SBCF,SBVT,27206
155,SBVT,SBCF,27211
156,SBGR,SBCY,26387
157,SBGL,SBBR,29604
158,SBBR,SBGL,31397
159,SBGR,SBCF,54530
160,SBCF,SBPS,17436
161,SBCF,SBGR,53255
162,SBPS,SBCF,17588
163,SBCT,SBBR,19398
164,SBEG,SBGL,8526
165,SBGL,SBEG,8510
166,SBBR,SBCY,24249
167,SBGR,SBEG,24438
168,SBEG,SBGR,25143
169,SBSN,SBEG,11287
170,SBBE,SBSN,16086
171,SBFZ,SBSL,15375
172,SBSL,SBBE,11614
173,SBEG,SBSN,11129
174,SBBE,SBSL,11137
175,SBSN,SBBE,16006
176,SBSL,SBFZ,15481
177,SBFL,SBPA,23713
178,SBCF,SBIL,4149
179,SBIL,SBCF,4100
180,SBGO,SBGL,2999
181,SBGL,SBSL,7066
182,SBSL,SBGL,7084
183,SBGR,SBVT,21638
184,SBVT,SBGR,22379
185,SBGR,SBGO,25317
186,SBBR,SBTE,14946
187,SBGO,SBBR,24497
188,SBBR,SBGO,24788
189,SBTE,SBBR,14982
190,SBGO,SBGR,25344
191,SBGR,SBRF,63847
192,SBRF,SBGR,64457
193,SBGR,SBBR,58169
194,SBBR,SBGR,57216
195,SBJP,SBBR,11370
196,SBKG,SBRF,3645
197,SBBR,SBKG,648
198,SBRF,SBPL,12787
199,SBPL,SBRF,12760
200,SBCF,SBRF,13713
201,SBCF,SBGO,12727
202,SBRF,SBCF,13845
203,SBGO,SBCY,12187
204,SBUL,SBCF,13327
205,SBCF,SBUL,13209
206,SBGL,SBKP,33797
207,SBKP,SBGL,33653
208,SBPA,SBCT,33718
209,SBSM,SBPA,4045
210,SBBE,SBFZ,18154
211,SBEG,SBBE,14205
212,SBGL,SBCF,24587
213,SBNT,SBFZ,10567
214,SBGL,SBNT,11511
215,SBFZ,SBNT,11781
216,SBNT,SBGL,11616
217,SBGL,SBFZ,23262
218,SBFZ,SBGL,23264
219,SBRF,SBFN,10607
220,SBFN,SBRF,10603
221,SBGL,SBVT,21898
222,SBVT,SBGL,21233
223,SBGR,SBFI,21287
224,SBFI,SBGR,21234
225,SBBR,SBPA,17707
226,SBBR,SBMO,12392
227,SBCG,SBCT,5046
228,SBCF,SBMO,2470
229,SBIZ,SBSL,9347
230,SBBR,SBIZ,8816
231,SBPA,SBGR,74137
232,SBCT,SBCF,12381
233,SBCF,SBCT,12319
234,SBGL,SBFI,14928
235,SBFI,SBGL,14994
236,SBGR,SBPS,14838
237,SBPS,SBSV,7395
238,SBSV,SBPS,6896
239,SBPS,SBGR,14765
240,SBPA,SBBR,17543
241,SBFZ,SBTE,12989
242,SBJP,SBGL,11964
243,SBBE,SBPJ,211
244,SBMA,SBBE,13596
245,SBBR,SBMA,9505
246,SBGR,SBNT,15881
247,SBNT,SBGR,15919
248,SBRF,SBJU,4849
249,SBJU,SBRF,4860
250,SBCT,SBFL,4385
251,SBGL,SBCT,24474
252,SBRF,SBKG,2977
253,SBJU,SBFZ,8004
254,SBFZ,SBJU,8060
255,SBPA,SBGL,35675
256,SBMO,SBGR,20539
257,SBNM,SBSM,977
258,SBGL,SBAR,6348
259,SBAR,SBMO,5272
260,SBGR,SBMO,21059
261,SBAR,SBGL,6462
262,SBMO,SBAR,4851
263,SBGR,SBPA,73355
264,SBCT,SBGL,24519
265,SBBR,SBJP,11624
266,SBSL,SBIZ,9396
267,SBIZ,SBBR,8834
268,SBGR,SBBE,16456
269,SBBE,SBGR,15590
270,SBGL,SBPA,35929
271,SBSV,SBJP,3506
272,SBJP,SBSV,3486
273,SBBR,SBCG,9247
274,SBCG,SBBR,9279
275,SBBR,SBRB,8296
276,SBRB,SBBR,8367
277,SBBR,SBPV,11013
278,SBPV,SBBR,11111
279,SBGL,SBFL,17814
280,SBFL,SBGL,17943
281,SBGL,SBGO,2978
282,SBMQ,SBBE,26061
283,SBBE,SBBR,21121
284,SBCY,SBBR,24188
285,SBCZ,SBRB,4259
286,SBRB,SBPV,6585
287,SBPV,SBEG,14644
288,SBFZ,SBBE,17928
289,SBBE,SBEG,15175
290,SBRB,SBCZ,4320
291,SBPV,SBRB,6643
292,SBEG,SBPV,14728
293,SBBR,SBSL,13158
294,SBSL,SBBR,13089
295,SBRF,SBPS,20
296,SBBE,SBGL,9689
297,SBGR,SBNF,11604
298,SBNF,SBGR,11694
299,SBGL,SBBE,9726
300,SBGR,SBCG,16923
301,SBCG,SBGR,16859
302,SBCT,SBMO,22
303,SBLO,SBMO,31
304,SBGL,SBPS,626
305,SBPS,SBFZ,13
306,SBCY,SBGL,912
307,SBPA,SSER,571
308,SBPF,SBPA,1966
309,SSER,SBPF,1233
310,SBCT,SBGU,16
311,SBGU,SBCH,16
312,SBCH,SBGU,21
313,SBGU,SBCT,21
314,SBJU,SBBR,3303
315,SBBR,SBJU,3310
316,SBGR,SBPF,2234
317,SBPF,SBGR,2215
318,SBCY,SBPV,13519
319,SBBR,SBAR,4621
320,SBAR,SBBR,4726
321,SBGR,SBRJ,35567
322,SBRJ,SBGR,35537
323,SBCY,SBCG,14067
324,SBCG,SBCY,14151
325,SBSP,SBSP,886
326,SBCY,SBCY,738
327,SBSV,SBSV,730
328,SBGR,SBUL,6355
329,SBUL,SBGR,6088
330,SBUL,SBGO,3616
331,SBGO,SBUL,3626
332,SBRP,SBRJ,5788
333,SBRJ,SBRP,5840
334,SBRP,SBBR,7065
335,SBBR,SBRP,7106
336,SBSR,SBBR,2043
337,SBBR,SBSR,2029
338,SBCY,SWJI,332
339,SWJI,SBCY,305
340,SBRP,SBGO,5879
341,SBGR,SBRP,19112
342,SBSV,SBQV,14059
343,SBBR,SNBR,4493
344,SNBR,SBSV,4658
345,SBRP,SBGR,19429
346,SBSR,SBRP,2820
347,SBRP,SBSR,2840
348,SBBH,SBRP,4848
349,SBRP,SBBH,4843
350,SBCT,SBRP,1647
351,SBRP,SBCT,1634
352,SJTC,SBML,735
353,SBGR,SJTC,678
354,SBGR,SBDN,863
355,SBML,SJTC,724
356,SJTC,SBGR,673
357,SBDN,SBML,1154
358,SBML,SBSP,650
359,SBML,SBDN,1029
360,SBSP,SBML,660
361,SBSP,SJTC,1032
362,SJTC,SBAU,657
363,SJTC,SBSP,1020
364,SBAU,SJTC,639
365,SBCT,SBCA,8147
366,SBCA,SBCT,8088
367,SBMC,SWGI,297
368,SBBR,SBMC,308
369,SWGI,SNDC,173
370,SBMC,SBBR,313
371,SNDC,SWGI,169
372,SWGI,SBMC,298
373,SNDC,SBAA,631
374,SBAA,SNKE,440
375,SBMA,SNDC,1763
376,SBBE,SBMA,13577
377,SBAA,SNDC,625
378,SNKE,SBAA,437
379,SNDC,SBMA,1759
380,SBCJ,SDOW,1661
381,SBMA,SBCJ,3989
382,SDOW,SNFX,769
383,SNFX,SDOW,779
384,SDOW,SBCJ,1691
385,SBCJ,SBMA,3965
386,SBMA,SDOW,3651
387,SDOW,SBMA,3633
388,SWGI,SBGO,59
389,SWGI,SWFX,597
390,SWFX,SJHG,837
391,SJHG,SWFX,451
392,SWFX,SWGI,541
393,SBGO,SBGO,408
394,SBRJ,SBAR,2189
395,SBAR,SBRJ,2155
396,SBRJ,SBRF,563
397,SBRF,SBRJ,554
398,SBBR,SBFL,7223
399,SBRF,SBJP,4906
400,SBJP,SBRF,5143
401,SBCT,SBRJ,14893
402,SBRJ,SBCT,15100
403,SBRP,SBSP,12738
404,SBSP,SBRP,12703
405,SBBR,SBNT,8446
406,SBGR,SBSL,9720
407,SBSL,SBGR,9509
408,SBGR,SBJP,11133
409,SBJP,SBGR,11139
410,SBNT,SBBR,8425
411,SBGO,SBCG,2655
412,SBAR,SBGR,12296
413,SBGR,SBAR,11784
414,SBMO,SBBR,12521
415,SBCG,SBGO,2659
416,SBPA,SBSV,225
417,SBSP,SBSR,13755
418,SBSR,SBCY,3320
419,SBSR,SBSP,13907
420,SBCY,SBSR,3457
421,SBSP,SBCY,8502
422,SBCY,SBSP,8329
423,SBTE,SBFZ,12741
424,SBCT,SBSV,2624
425,SBFZ,SBEG,5923
426,SBSV,SBCT,2636
427,SBEG,SBFZ,5331
428,SBMA,SBBR,9484
429,SBAR,SBRF,11004
430,SBRF,SBAR,10963
431,SBLO,SBGR,7152
432,SBGR,SBLO,7160
433,SBPA,SBPS,768
434,SBSP,SBGR,2173
435,SBGR,SBSP,4235
436,SBGL,SBRJ,2424
437,SBVT,SBPS,623
438,SBPS,SBVT,598
439,SBRF,SBMO,9055
440,SBMO,SBCF,3350
441,SBBH,SBGV,7033
442,SBGV,SBBH,7135
443,SNJR,SBRJ,536
444,SBBH,SNJR,738
445,SBSJ,SBRJ,4109
446,SBNT,SBFN,2551
447,SBFN,SBNT,2554
448,SWEI,SBTF,1591
449,SBTF,SBEG,4852
450,SBTF,SWEI,1594
451,SBEG,SBTF,5001
452,SBBH,SBMK,7652
453,SBGV,SBIP,2847
454,SBIP,SBBH,8344
455,SBRJ,SNJR,550
456,SNJR,SBBH,752
457,SBBH,SBCB,872
458,SBCB,SBBH,865
459,SBMK,SBPS,109
460,SBRJ,SBCB,192
461,SBCB,SBRJ,194
462,SBEG,SWKO,2745
463,SWKO,SBEG,2743
464,SBCF,SBNT,2262
465,SBNT,SBCF,3106
466,SWUQ,SBBV,25
467,SBCF,SBJP,245
468,SBSP,SBKP,753
469,SBSP,SBPS,3990
470,SBRP,SBPS,620
471,SBSN,SBHT,3632
472,SBIH,SBSN,2481
473,SBPS,SBUL,412
474,SBUL,SBPS,423
475,SBKP,SBPS,2409
476,SBPS,SBKP,2487
477,SBCT,SBPS,223
478,SBFZ,SBCF,3220
479,SBCT,SBCX,3027
480,SBCX,SBCT,3015
481,SBCY,SBGO,11995
482,SBGO,SBCF,12859
483,SBPS,SBRJ,1272
484,SBPV,SBCY,13383
485,SBFL,SBCT,4887
486,SBCY,SBDN,749
487,SBIL,SBGR,1175
488,SBBV,SJQK,77
489,SBPA,SBMO,520
