Rota,Periodo,Quantidade
0,4,2646
0,51,3197
0,51,159
1,4,141
2,51,119
3,51,39
4,51,40
5,51,21
6,51,23
7,51,71
8,51,72
9,51,21
10,51,21
11,51,11
12,51,11
13,51,78
14,51,72
15,51,36
16,51,35
17,51,61
18,51,66
19,51,51
20,51,51
21,51,81
22,51,27
23,51,20
24,51,78
25,51,31
26,51,18
27,51,25
28,51,25
29,4,22
30,51,44
31,4,22
32,51,29
33,51,29
34,51,29
35,51,21
36,51,21
37,4,12
38,51,14
39,4,13
40,51,9
41,51,15
42,51,14
43,51,71
44,51,73
45,51,92
46,51,98
47,4,148
48,51,191
49,51,134
50,51,140
51,4,17
52,51,90
53,51,186
54,51,185
55,4,14
56,51,31
57,51,73
58,51,34
59,51,34
60,4,26
61,4,48
62,4,49
63,4,46
64,51,38
65,51,36
66,51,110
67,51,109
68,51,35
69,51,43
70,51,35
71,51,43
72,51,111
73,51,110
74,51,65
75,51,67
76,51,60
77,51,21
78,51,96
79,51,22
80,4,52
81,51,51
82,51,126
83,51,122
84,51,92
85,51,96
86,51,66
87,4,9
88,51,110
89,51,90
90,51,61
91,51,98
92,51,87
93,51,29
94,51,84
95,51,29
96,51,30
97,51,31
98,51,50
99,51,48
100,51,86
101,51,92
102,51,34
103,51,34
104,51,60
105,51,59
106,51,59
107,51,36
108,51,59
109,51,36
110,51,14
111,51,14
112,51,66
113,4,62
114,51,78
115,51,57
116,51,56
117,51,17
118,51,15
119,51,64
120,51,63
121,51,38
122,4,6
123,51,29
124,51,29
125,51,85
126,51,8
127,51,5
128,51,15
129,51,30
130,51,30
131,51,16
132,51,370
133,51,360
134,51,16
135,51,109
136,51,109
137,51,124
138,51,127
139,4,19
140,51,27
141,51,54
142,51,54
143,51,35
144,51,35
145,51,48
146,51,42
147,4,29
148,51,48
149,51,32
150,51,6
151,51,6
152,51,83
153,51,80
154,51,58
155,51,57
156,51,36
157,51,75
158,51,89
159,4,77
160,4,22
161,51,92
162,51,17
163,51,47
164,51,16
165,4,13
166,51,57
167,51,57
168,51,57
169,51,23
170,51,24
171,51,36
172,51,32
173,51,23
174,51,33
175,51,24
176,51,36
177,51,50
178,51,8
179,51,8
180,51,21
181,4,14
182,51,16
183,51,24
184,51,24
185,51,32
186,51,33
187,51,64
188,51,67
189,51,32
190,51,31
191,51,123
192,51,120
193,51,137
194,51,135
195,51,11
196,51,16
197,51,8
198,51,33
199,51,34
200,51,32
201,51,14
202,51,32
203,4,29
204,51,9
205,51,8
206,51,48
207,51,52
208,51,95
209,51,14
210,51,42
211,51,36
212,51,63
213,4,40
214,4,23
215,51,50
216,51,29
217,4,40
218,51,47
219,51,22
220,51,22
221,51,47
222,51,50
223,51,33
224,51,33
225,51,51
226,4,14
227,51,18
228,4,14
229,4,21
230,51,25
231,4,132
232,51,24
233,51,26
234,51,30
235,51,30
236,51,24
237,51,21
238,51,19
239,51,26
240,51,50
241,4,21
242,51,20
243,51,1
244,4,21
245,51,17
246,4,48
247,51,48
248,51,8
249,51,8
250,4,6
251,4,58
252,51,8
253,51,16
254,4,14
255,51,72
256,51,28
257,51,8
258,51,14
259,51,23
260,51,36
261,51,13
262,51,32
263,51,142
264,51,70
265,4,7
266,51,24
267,51,24
268,51,31
269,51,27
270,51,75
271,4,11
272,51,11
273,4,11
274,51,14
275,4,14
276,51,19
277,4,20
278,51,31
279,51,33
280,51,32
281,4,14
282,51,57
283,51,52
284,51,56
285,51,20
286,51,18
287,51,32
288,51,42
289,51,39
290,51,20
291,51,18
292,51,35
293,51,30
294,51,29
295,51,1
296,51,23
297,51,10
298,51,9
299,51,24
300,4,33
301,51,35
302,4,1
303,4,1
304,51,1
305,4,1
306,4,1
0,8,2695
307,51,1
308,51,9
309,51,4
310,51,1
311,51,1
312,51,1
313,51,1
314,51,8
315,51,8
316,51,8
317,51,8
318,4,22
319,51,8
320,51,8
321,51,35
322,51,35
323,51,53
324,51,52
325,51,5
326,51,1
327,51,2
328,51,19
329,51,19
330,51,24
331,51,21
332,51,36
333,51,38
334,51,25
335,51,24
336,51,9
337,51,9
338,51,7
339,51,9
340,51,14
341,51,53
342,51,14
343,51,7
344,51,7
345,51,53
346,51,10
347,51,8
348,51,8
349,51,8
350,51,17
351,51,17
352,51,8
353,51,6
354,51,13
355,51,8
356,51,6
357,51,18
358,51,7
359,51,17
360,51,7
361,51,10
362,51,6
363,51,11
364,51,7
365,51,17
366,51,18
367,51,3
368,51,3
369,51,3
370,51,3
371,51,3
372,51,3
373,51,7
374,51,7
375,51,7
376,51,31
377,51,7
378,51,7
379,51,7
380,51,6
381,51,6
382,51,14
383,51,14
384,51,7
385,51,7
386,51,16
387,51,13
388,51,1
389,51,3
390,51,3
391,51,3
392,51,3
393,51,1
394,4,5
395,51,8
396,4,6
397,51,8
398,51,9
399,4,14
400,51,36
401,51,29
402,51,31
403,51,21
404,51,20
405,51,24
406,4,12
407,51,19
408,51,25
409,51,21
410,51,22
411,51,7
412,51,16
413,4,8
414,51,20
415,51,8
416,4,2
417,51,23
418,51,7
419,51,23
420,51,7
421,51,19
422,51,19
423,51,32
424,4,8
425,4,12
426,51,9
427,51,15
428,51,16
429,51,15
430,51,14
431,51,13
432,4,10
433,4,2
434,51,10
435,51,15
436,51,5
437,51,8
438,51,9
439,51,32
440,51,9
441,51,20
442,51,12
443,51,7
444,51,8
445,51,10
446,51,8
447,51,8
448,51,6
449,51,9
450,51,6
451,51,9
452,51,32
453,51,15
454,51,39
455,51,7
456,51,7
457,51,2
458,51,3
459,51,2
460,51,3
461,51,3
462,51,11
463,51,11
464,51,16
465,51,16
466,4,2
467,8,1
468,4,6
469,8,8
470,4,2
471,4,13
472,4,11
473,4,2
474,4,1
475,4,2
476,4,2
477,8,1
478,4,10
479,4,6
480,4,6
481,4,30
482,4,12
483,4,1
484,4,23
485,4,9
486,4,6
487,4,1
488,4,3
489,8,1
490,8,1
491,8,1
492,4,1
493,4,14
494,4,1
495,4,2
496,4,1
497,4,4
498,4,1
499,4,1
500,4,10
501,4,17
502,4,3
503,4,1
504,4,3
505,4,19
506,4,2
507,4,2
508,4,1
509,4,1
510,4,1
511,4,8
512,4,12
513,4,7
514,4,7
515,4,7
516,4,1
517,4,11
518,4,11
0,10,2627
519,4,7
520,4,1
521,4,3
522,4,5
523,8,1
524,4,2
525,4,1
526,4,1
527,4,9
528,8,1
529,4,1
530,4,1
531,4,1
532,8,2
533,8,1
534,4,2
535,4,5
536,8,4
537,4,1
538,4,1
539,4,6
540,4,2
541,4,8
542,4,6
543,4,11
544,4,3
545,4,3
546,4,4
547,4,3
548,4,2
549,4,3
550,4,1
551,4,1
552,4,12
553,4,6
554,4,6
555,4,1
556,4,5
557,4,7
558,4,8
559,4,1
560,4,1
561,4,23
562,4,23
563,4,11
564,4,6
565,4,12
566,4,12
567,4,7
568,4,12
569,4,1
570,4,1
571,4,1
572,4,2
573,4,19
574,4,9
575,4,5
576,4,1
577,4,1
578,4,1
579,4,3
580,4,1
581,4,1
469,12,1
582,8,2
583,8,3
584,12,1
585,8,1
586,8,1
587,8,1
588,8,1
589,8,8
590,8,6
0,21,2571
206,16,48
591,8,2
592,8,3
593,8,2
594,8,6
595,8,2
596,8,2
597,12,2
598,8,4
599,8,1
600,12,1
601,8,1
602,8,1
603,8,1
604,8,2
605,8,2
606,8,3
607,8,1
608,8,9
609,8,2
610,8,1
611,8,1
612,8,4
613,8,1
614,8,1
615,8,8
616,8,4
617,8,4
618,8,9
619,8,4
620,8,10
621,8,5
622,8,1
623,8,1
624,8,1
625,8,5
626,8,9
627,12,7
628,12,6
629,8,4
630,8,4
631,8,4
632,8,1
633,8,3
634,8,6
635,8,10
636,8,4
637,8,2
638,8,2
639,8,4
640,8,4
641,8,3
642,8,3
643,8,1
644,8,3
645,8,3
646,8,12
647,8,8
648,8,15
649,8,8
650,8,1
651,8,3
652,8,4
653,8,4
654,8,1
655,8,1
656,8,1
657,8,1
658,8,1
659,12,5
660,12,5
661,12,4
662,12,1
663,12,10
664,12,11
665,12,12
666,12,1
667,12,3
668,12,3
669,12,2
670,12,3
671,12,3
672,12,4
673,12,3
674,12,3
675,12,3
676,12,3
677,12,3
678,12,3
679,12,7
680,12,1
681,12,1
682,12,1
683,12,1
684,12,2
685,12,2
686,12,1
687,12,6
688,12,6
689,12,1
690,12,1
691,12,3
692,12,3
693,12,2
694,12,2
695,12,2
696,12,16
697,12,1
698,12,1
699,12,5
700,12,1
701,12,1
702,12,1
703,12,1
704,12,6
705,12,6
706,12,6
707,12,5
708,12,6
709,12,6
710,12,6
711,12,13
712,12,6
713,12,6
714,12,6
715,12,5
716,12,5
717,12,6
718,12,6
719,12,6
720,12,6
721,12,6
722,12,6
723,12,6
724,12,5
725,12,6
726,12,6
727,12,6
728,12,6
729,12,6
730,12,5
731,12,5
732,12,5
733,12,5
734,12,5
735,12,3
736,12,6
737,12,6
738,12,11
739,12,6
740,12,6
741,12,6
742,12,6
743,12,6
744,12,6
745,12,6
746,12,6
747,12,6
748,12,6
749,12,2
750,12,21
751,12,6
752,12,10
753,12,6
754,12,15
755,12,1
756,12,1
757,12,1
758,12,1
759,12,1
760,12,1
761,12,1
762,16,1
763,16,2
764,16,2
765,16,2
766,16,3
767,16,2
768,16,7
769,16,7
770,16,1
771,16,3
772,16,1
773,16,1
774,21,1
775,16,7
776,16,2
777,16,2
778,16,1
779,16,1
780,16,1
781,16,2
782,16,5
783,16,1
784,21,1
785,16,1
786,16,1
787,16,4
788,16,4
789,21,3
790,16,4
791,16,5
792,16,2
793,16,2
794,16,1
21,25,72
0,26,2677
795,25,3
796,25,5
0,29,2724
797,21,4
798,21,1
799,21,5
800,21,2
801,21,1
802,25,1
803,25,1
804,21,2
805,21,2
806,21,2
807,21,1
808,21,3
809,21,2
0,34,2609
810,25,5
811,25,1
812,25,1
813,25,2
814,25,1
815,25,1
816,25,1
817,25,1
818,25,1
819,25,1
0,38,2598
820,29,3
821,29,1
822,29,1
823,29,1
824,29,1
825,29,1
826,29,1
827,34,2
828,34,1
829,34,2
830,34,1
831,34,1
832,34,1
833,38,1
834,34,1
835,34,1
836,34,1
837,38,1
838,34,1
839,34,1
840,34,1
841,34,1
842,34,1
843,34,1
844,34,1
0,43,2649
845,38,1
846,38,1
847,38,1
848,38,1
849,38,1
0,47,2635
850,38,3
851,38,1
852,38,1
853,38,1
854,38,1
855,38,1
856,38,1
857,38,1
858,43,2
0,48,2693
859,47,2
0,1,2697
860,43,1
861,43,1
862,43,1
863,43,1
864,43,2
865,47,1
866,47,1
867,1,1
868,47,1
869,1,2
870,1,1
871,47,1
872,1,1
873,47,1
874,1,1
875,1,1
876,1,1
877,1,1
878,1,2
879,1,1
880,1,1
881,1,1
882,1,3
883,1,7
884,1,5
885,1,1
886,1,1
887,1,2
888,1,1
889,1,6
890,1,2
574,3,12
891,1,1
0,2,2688
892,1,1
893,1,1
894,1,1
895,1,6
896,1,1
897,1,1
898,1,2
899,1,1
900,1,1
901,1,3
902,1,1
903,1,1
904,1,1
905,2,1
906,1,2
907,1,1
908,1,1
909,1,1
910,2,5
911,2,1
912,2,1
913,2,2
914,2,1
915,2,1
916,2,1
917,2,2
918,2,2
919,2,1
920,2,1
921,2,1
922,2,1
923,2,1
924,2,1
925,2,1
926,2,2
927,2,4
928,2,1
929,2,1
930,2,2
931,2,5
932,2,1
933,2,2
934,2,1
935,2,1
936,2,1
937,2,2
938,2,1
939,2,1
940,2,1
941,2,1
942,2,1
943,2,1
944,2,1
945,3,1
946,2,1
947,2,1
948,2,1
949,2,1
950,2,1
951,3,1
952,3,1
953,3,1
954,3,1
955,3,1
956,3,1
957,3,1
958,3,1
959,3,1
960,3,1
961,3,1
962,3,2
963,3,1
964,3,1
965,3,1
966,3,1
967,3,2
968,3,3
969,3,1
970,3,1
971,3,2
972,3,1
973,3,1
974,3,1
975,3,1
976,3,1
977,3,1
978,3,2
979,3,1
980,3,1
981,3,1
982,51,1
983,51,1
984,3,1
985,3,1
986,3,1
987,3,1
988,51,1
989,51,7
990,51,1
991,4,1
992,4,1
